FECHA;Importe
2018-01-01;93191997214,60
2018-02-01;87347637762,90
2018-03-01;107774353286,10
2018-04-01;93116269660,30
2018-05-01;93832770666,40
2018-06-01;111998527542,60
2018-07-01;111462142113,20
2018-08-01;106735293668,30
2018-09-01;111736245150,60
2018-10-01;107252382817,80
2018-11-01;113180600435,00
2018-12-01;155339345437,40
2019-01-01;113008729639,20
2019-02-01;113757152656,73
2019-03-01;135461734856,50
2019-04-01;122879399329,40
2019-05-01;136748248987,20
2019-06-01;154569988172,00
2019-07-01;150386182020,77
2019-08-01;151004430401,64
2019-09-01;148051942184,73
2019-10-01;160519648407,04
2019-11-01;160539829533,66
2019-12-01;219072763733,55
2020-01-01;173427396750,29
2020-02-01;172201675091,22
2020-03-01;185660740990,00
2020-04-01;206355369480,00
2020-05-01;247183492710,00
2020-06-01;265376011000,00
2020-07-01;269039330900,00
2020-08-01;258589810400,00
2020-09-01;259304152600,00
2020-10-01;265290155000,00
2020-11-01;245136869650,00
2020-12-01;359909909700,00
2021-01-01;271174795100,00
2021-02-01;263806863300,00
2021-03-01;294646253800,00
2021-04-01;283736399700,00
2021-05-01;297866586600,00
2021-06-01;347169161400,00
2021-07-01;383063888000,00
2021-08-01;342609994916,50
2021-09-01;351446981700,00
2021-10-01;387383131900,00
2021-11-01;373222910400,00
2021-12-01;541148379700,00
2022-01-01;381996629500,00
2022-02-01;404910247000,00
2022-03-01;415587257400,00
2022-04-01;452946838400,00
2022-05-01;467539039299,61
2022-06-01;539656586724,00
2022-07-01;564075303843,14
2022-08-01;497505369700,00
2022-09-01;539314821500,00
2022-10-01;568805516984,90
2022-11-01;585257423546,99
2022-12-01;808032979051,77
2023-01-01;645568662358,40
2023-02-01;624981608026,55
2023-03-01;721372137143,62
2023-04-01;747095023251,98
2023-05-01;717606154209,00
2023-06-01;864463567500,00
2023-07-01;947451330490,63
2023-08-01;898556860735,00
2023-09-01;995948399635,04
2023-10-01;1012128620366,43
2023-11-01;422698553395,00
