FECHA;UP RED
2014-01;84,09
2014-02;87,26
2014-03;84,74
2014-04;86,37
2014-05;84,97
2014-06;84,44
2014-07;79,93
2014-08;86,08
2014-09;84,25
2014-10;84,65
2014-11;85,08
2014-12;79,16
2015-01;83,52
2015-02;82,90
2015-03;80,92
2015-04;82,57
2015-05;80,61
2015-06;73,51
2015-07;77,17
2015-08;80,42
2015-09;77,86
2015-10;80,40
2015-11;75,90
2015-12;72,05
2016-01;83,79
2016-02;80,61
2016-03;81,89
2016-04;82,72
2016-05;79,77
2016-06;77,51
2016-07;78,08
2016-08;83,51
2016-09;82,33
2016-10;77,04
2016-11;81,82
2016-12;70,07
2017-01;77,10
2017-02;83,05
2017-03;79,74
2017-04;69,60
2017-05;76,09
2017-06;73,62
2017-07;79,88
2017-08;77,80
2017-09;79,37
2017-10;80,36
2017-11;74,17
2017-12;75,25
2018-01;80,43
2018-02;76,95
2018-03;77,46
2018-04;73,87
2018-05;74,17
2018-06;74,95
2018-07;73,72
2018-08;82,70
2018-09;80,56
2018-10;82,49
2018-11;73,76
2018-12;68,28
2019-01;79,79
2019-02;85,38
2019-03;78,50
2019-04;80,88
2019-05;79,89
2019-06;77,77
2019-07;83,14
2019-08;91,59
2019-09;88,05
2019-10;85,00
2019-11;86,14
2019-12;75,84
2020-01;88,42
2020-02;82,71
2020-03;81,35
2020-04;94,08
2020-05;89,71
2020-06;82,55
2020-07;92,62
2020-08;86,59
2020-09;85,17
2020-10;83,17
2020-11;82,77
2020-12;67,92
2021-01;83,75
2021-02;81,26
2021-03;80,84
2021-04;76,88
2021-05;75,99
2021-06;67,84
2021-07;69,86
2021-08;74,05
2021-09;73,01
2021-10;75,48
2021-11;79,95
2021-12;67,90
2022-01;79,15
2022-02;81,36
2022-03;79,62
2022-04;77,03
2022-05;71,58
2022-06;69,10
2022-07;80,40
2022-08;87,25
2022-09;87,95
2022-10;81,33
2022-11;81,79
2022-12;71,97
2023-01;86,71
2023-02;83,09
2023-03;83,98
2023-04;84,74
2023-05;85,61
2023-06;80,88
2023-07;83,35
2023-08;84,34
2023-09;85,49
2023-10;
2023-11;
2023-12;
